RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
102001,0,United States,Country,,194833,196333,198167,199833,200633,196633,193300,188333,186667,182500,179167,175833,174333,175300,178300,181633,183000,180333,177667,175000,175667,175667,174333,173333,171667,173333,175000,180000,183333,183333,180167,177000,176667,174833,172333,168333,167667,168833,172500,175167,176333,173667,170281,167615,166948,165000,162667,161667,165333,171000,177667,182300,184300,182300,179500,178500,179872,179372,177705,177333,180729,187396,194229,200833,202500,200000,196667,194000,195300,193633,192608,190808,192975,197333,202833,207300,209635,206744,203444,201443,203000,202667,201633,201600,205267,210633,216000,219333,219833,217412,214078,212912,214395,214362,212195,210467,213500,219176,224509,227776,228600,226933,225650,225110,226110,225033,223906,223406,226500,230833,237000,240000,241667,239043,237377,236377,237333,237333,237667,238667,242000,245667,249667,251333,251552,248218,245885,244433,245333,245333,244400,245163,248497,254330,259333,262500,262500,259833,258000,257667,259000,258333,258667,260367,264367,266000,268133,273793,280493,286293,288300,290633,290667,289833
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347833,350000,355000,365000,373833,378833,377167,370833,365833,359167,355333,350667,349000,345667,351167,361167,375486,386319,386836,382183,370517,363333,363333,364167,362500,357408,359075,367408,379167,389667,389333,382667,373000,369667,371667,372500,371167,369167,371667,381667,390000,396667,395000,388333,380000,375333,374500,374833,372833,372833,374167,383833,394667,404667,403333,398333,391167,387167,385500,386000,386000,389333,393603,405937,418603,426000,424333,413000,404834,399834,400167,399998,398998,398998,403000,412333,423167,430000,428933,420933,413433,407833,408333,408333,406667,406667,410000,421667,431667,435833,433833,427585,423419,420419,421667,423333,425000,428333,431667,440000,444817,451483,455483,462333,470000,472333,474000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503333,496333,490667,482333,469333,455000,443333,433333,427333,412333,407333,400000,399792,403125,410625,419167,417500,416667,412500,410833,404167,399667,393000,393000,393333,401667,401667,405000,401667,403333,398333,396667,391667,386667,381000,381750,386750,392417,395000,396667,391667,387083,377083,372083,363333,358000,354667,359000,371000,381000,388333,392333,395667,397000,398000,399667,406000,406000,407667,413667,435500,457667,474000,477833,479333,476000,475000,475500,480500,479167,481667,484667,494667,504667,510833,517500,520000,519167,515833,511667,509000,505667,508667,514667,525333,530667,537333,539000,540667,535667,533333,533167,538167,541167,541333,543000,551667,564667,573667,575333,574000,571333,572333,572333,573000,572000,570333,577333,588000,601333,609000,615000,617667,619333,616000,616667,616333,613000,616000,622000,634667,643333,651000,655000,654000,647667,644333,642332,638665,631998,628167,633167,644333,649167,653833,661000,663000,663167,656500,656833,658667,660333,663333,670333,675000,673333,674667,688333,711667,727667,736000,736000,733333,728667
394463,3,"Chicago, IL",Msa,IL,248717,248717,251633,254667,256333,253000,245000,235000,228833,222167,215167,211333,211333,215833,219167,221500,222333,217667,211333,204667,201000,198667,194500,194500,196667,203333,210000,212500,215667,209000,205667,196667,193333,187250,183250,177250,177667,180000,187667,193300,196633,189967,179667,169333,164333,158900,153617,154950,162383,173000,183833,190500,192500,185333,174167,167833,163833,161000,155000,155083,163750,177917,193833,205167,210833,206167,197000,187833,182167,178667,173500,174133,180133,194133,208500,217500,222333,215983,206817,196150,190833,187667,184300,187633,197300,210667,220633,224967,224467,217833,210667,204167,200500,196000,192000,194000,205000,218667,227667,229667,228300,220967,214633,209167,208833,207833,206833,211500,220833,231667,239000,240667,238333,231000,224000,219667,218667,217615,217948,221282,229300,236633,243300,244667,242833,235833,228833,225667,222667,220417,219750,224333,232583,240583,246000,249000,247500,242500,236833,234000,232333,229667,228000,234667,246333,253333,255000,256667,262833,266167,267833,265000,262333,257333
394514,4,"Dallas-Fort Worth, TX",Msa,TX,150163,153827,155997,158663,159333,155967,152600,148100,146298,141965,141132,141300,144000,148083,153083,157533,158417,155083,151300,147420,145754,142329,142242,143875,149272,151938,154972,157167,160167,158167,154333,150333,151000,150465,149632,146632,147167,149667,153167,156833,157833,156000,152967,149300,150633,149000,150000,151000,156000,161500,165667,168667,168800,167133,164300,162105,162605,162105,162167,163167,170000,177333,183167,186667,187500,185000,180983,177983,178116,175298,175965,177532,183533,189033,195121,199288,201088,196633,193300,191000,194333,194217,195383,197050,205000,212833,219500,221667,220667,215648,212315,209648,211500,209833,211833,215000,222667,230967,237968,240802,240502,236759,236259,235509,237250,236250,238667,242000,249333,256333,261050,261717,259550,254833,252832,250665,253995,252663,253663,255333,261667,268333,273333,276000,273333,266667,261500,258500,260133,257630,257963,258663,265300,272300,277633,280300,278633,274300,271667,270000,271667,270000,271240,272874,279540,281633,285000,290000,296500,299338,299672,299838,300333,298000
394974,5,"Philadelphia, PA",Msa,PA,220750,224750,229567,237650,242650,240000,232333,225667,220667,218083,213083,209750,208317,210317,216917,222978,227645,224810,218765,212098,210000,209667,211000,209667,211667,212000,218333,225667,232000,233333,227667,221833,218483,215150,212950,208267,207917,207950,215483,222500,227500,222333,215417,209583,208167,205083,201583,196193,197859,203859,215520,224927,229927,226073,219527,216193,216193,214967,208300,204633,205500,212167,223500,233667,240333,236000,228333,221667,219967,217383,211120,207820,208737,215000,224667,232967,239383,234717,228750,223792,222125,218792,211000,208333,210000,218000,227300,234900,236567,233267,227830,224496,219496,214167,211167,209833,214000,221967,233633,241967,243667,238333,233333,229000,229000,225667,220667,217333,221333,230667,242333,248333,250000,242333,235667,230667,231467,228133,224800,223333,228333,236000,242667,247667,251667,249333,243667,237833,236500,235400,231233,231567,235667,244333,252667,261000,265000,260000,252667,248333,248333,246000,241367,239850,249433,257400,263917,268000,276262,281228,279895,276633,273333,271667
394692,6,"Houston, TX",Msa,TX,152333,154227,157061,160727,162000,161017,156183,149683,144165,140665,139282,141021,145021,151238,157167,162833,165000,162554,157554,153221,151333,150067,149567,149900,152800,154314,156647,157680,159967,158696,156029,153688,154959,152626,151329,150163,151796,154157,155990,159357,161333,159667,158000,155667,157183,153838,150505,149955,156800,164133,168983,170450,169750,166113,163980,164722,167208,165375,162667,163333,172000,180667,186333,188333,188333,186333,182333,180667,181167,180810,180477,178543,182867,186500,193267,196633,203333,203000,201333,197441,201108,201941,202165,200498,203332,209333,215333,220000,220500,216167,211620,206454,208454,207167,207833,206667,211000,216667,221863,226697,227697,225000,220000,218500,220167,218500,217000,217793,223627,228739,231945,232779,231667,229333,228333,227333,226333,223641,223289,224289,231313,237374,241374,242375,241000,237333,233125,231292,234258,232967,232133,232167,238000,243667,247833,249500,249833,246333,243100,242100,244767,243667,244000,243167,248500,249167,253333,258967,264633,265300,263667,264333,267103,265769
395209,7,"Washington, DC",Msa,DC,365333,368667,375333,382605,380938,368113,348842,333842,329000,329000,324000,318333,313333,316667,323333,335000,339333,336000,324333,314000,310667,303667,301000,299333,307438,316105,324438,334967,336633,338300,333167,334833,335163,326997,323630,319967,327300,335667,344000,353000,353000,349667,335833,328752,325418,322918,316663,316663,328313,344983,358283,367300,366529,358229,349229,346667,349160,347493,342827,343667,351333,367667,381000,390167,388500,379233,370733,365867,368463,366797,363330,359164,362831,377497,388333,398000,394667,384773,375107,368773,375533,372033,370063,368197,377311,388948,393456,394175,387842,382805,376138,374471,373345,369066,366048,362833,373745,383530,395033,395566,393433,385467,380967,376167,380942,379942,378775,373667,381998,394665,406332,409667,406633,398300,389300,385083,390083,389083,388333,388333,399000,410633,417300,419416,416114,409114,401332,397967,401633,399128,398494,398828,409667,420333,426158,427825,424792,415300,408553,408253,414920,410667,409000,415000,432000,439333,439667,447000,454000,457667,453233,449067,445067,438167
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,266567,265633,264567,264667,264667,257167,248833,236817,231800,220133,210483,198042,190042,185042,187042,193708,195375,192667,186000,182000,179333,175000,169667,164667,161000,163650,165983,170650,170167,167500,165833,163000,161633,156633,153300,146633,146633,149967,156667,159667,158333,155000,151667,149667,150667,149333,148500,145833,148167,152333,160667,166667,170000,170000,169000,169667,171333,172333,171000,171000,176000,185500,195500,203833,210000,210167,206833,205167,206667,206667,201667,201667,204000,215167,223500,234167,234667,231333,228333,228833,232096,232096,230929,231000,231000,236667,241667,248333,248333,245000,240000,237000,240317,241317,241317,237417,239000,243667,250750,255500,256167,255583,254917,255917,256667,255000,253333,252367,256367,261333,269533,272867,276233,272333,268333,266667,267663,269330,267663,268833,272167,277167,281667,283997,283997,280663,280000,281070,281503,278170,274600,275800,278967,283133,285581,289747,291414,289667,290667,292333,295000,293333,293333,296000,302667,307917,312917,317917,324333,328333,330000,330000,330000,333333
394347,9,"Atlanta, GA",Msa,GA,185000,187500,190500,193133,192133,185633,179333,173167,169833,166000,161229,158729,156096,158167,161667,167467,169167,165667,161333,158000,157333,151000,143717,138383,141883,149500,153283,152967,148300,144517,138967,136600,137350,139533,135817,130067,126250,128333,133333,138333,145523,146673,145673,141817,139247,135247,133580,137333,147167,158140,166307,170140,169167,165333,159842,158175,160408,159422,162766,167199,178077,186733,193400,198667,196733,190733,184067,180667,183379,183345,183345,183817,188850,197767,203697,206597,204013,198350,192950,189950,191103,190694,191694,192424,198667,207000,212844,216177,211452,206275,199705,199097,202702,203272,202605,201667,208000,214513,218479,219313,215767,210800,206300,206667,210833,210833,210833,211667,216967,221967,225583,227617,226617,223037,220703,221037,225533,225867,227498,228632,234965,241300,245633,246633,243667,242129,241268,241934,241803,241630,241630,243267,246967,253633,258667,262333,260667,257333,253790,253907,255573,254233,255783,258783,268000,269667,270967,272633,279300,283300,284967,284967,285000,283333
