Year,Date,RegionName,StateName,median_housing_price
2017,1/31/2017,United States,,225033
2017,2/28/2017,United States,,223906
2017,3/31/2017,United States,,223406
2017,4/30/2017,United States,,226500
2017,5/31/2017,United States,,230833
2017,6/30/2017,United States,,237000
2017,7/31/2017,United States,,240000
2017,8/31/2017,United States,,241667
2017,9/30/2017,United States,,239043
2017,10/31/2017,United States,,237377
2017,11/30/2017,United States,,236377
2017,12/31/2017,United States,,237333
2018,1/31/2018,United States,,237333
2018,2/28/2018,United States,,237667
2018,3/31/2018,United States,,238667
2018,4/30/2018,United States,,242000
2018,5/31/2018,United States,,245667
2018,6/30/2018,United States,,249667
2018,7/31/2018,United States,,251333
2018,8/31/2018,United States,,251552
2018,9/30/2018,United States,,248218
2018,10/31/2018,United States,,245885
2018,11/30/2018,United States,,244433
2018,12/31/2018,United States,,245333
2019,1/31/2019,United States,,245333
2019,2/28/2019,United States,,244400
2019,3/31/2019,United States,,245163
2019,4/30/2019,United States,,248497
2019,5/31/2019,United States,,254330
2019,6/30/2019,United States,,259333
2019,7/31/2019,United States,,262500
2019,8/31/2019,United States,,262500
2019,9/30/2019,United States,,259833
2019,10/31/2019,United States,,258000
2019,11/30/2019,United States,,257667
2019,12/31/2019,United States,,259000
2017,1/31/2017,"Birmingham, AL",AL,177033
2017,2/28/2017,"Birmingham, AL",AL,173033
2017,3/31/2017,"Birmingham, AL",AL,173317
2017,4/30/2017,"Birmingham, AL",AL,178317
2017,5/31/2017,"Birmingham, AL",AL,188317
2017,6/30/2017,"Birmingham, AL",AL,194667
2017,7/31/2017,"Birmingham, AL",AL,193900
2017,8/31/2017,"Birmingham, AL",AL,190233
2017,9/30/2017,"Birmingham, AL",AL,187317
2017,10/31/2017,"Birmingham, AL",AL,185583
2017,11/30/2017,"Birmingham, AL",AL,184333
2017,12/31/2017,"Birmingham, AL",AL,184217
2018,1/31/2018,"Birmingham, AL",AL,181683
2018,2/28/2018,"Birmingham, AL",AL,180567
2018,3/31/2018,"Birmingham, AL",AL,182233
2018,4/30/2018,"Birmingham, AL",AL,187487
2018,5/31/2018,"Birmingham, AL",AL,196853
2018,6/30/2018,"Birmingham, AL",AL,203553
2018,7/31/2018,"Birmingham, AL",AL,206667
2018,8/31/2018,"Birmingham, AL",AL,201633
2018,9/30/2018,"Birmingham, AL",AL,197633
2018,10/31/2018,"Birmingham, AL",AL,195300
2018,11/30/2018,"Birmingham, AL",AL,195500
2018,12/31/2018,"Birmingham, AL",AL,195400
2019,1/31/2019,"Birmingham, AL",AL,193092
2019,2/28/2019,"Birmingham, AL",AL,191925
2019,3/31/2019,"Birmingham, AL",AL,192692
2019,4/30/2019,"Birmingham, AL",AL,200254
2019,5/31/2019,"Birmingham, AL",AL,209421
2019,6/30/2019,"Birmingham, AL",AL,215054
2019,7/31/2019,"Birmingham, AL",AL,213522
2019,8/31/2019,"Birmingham, AL",AL,211022
2019,9/30/2019,"Birmingham, AL",AL,205355
2019,10/31/2019,"Birmingham, AL",AL,205267
2019,11/30/2019,"Birmingham, AL",AL,203600
2019,12/31/2019,"Birmingham, AL",AL,205519
2017,1/31/2017,"Little Rock, AR",AR,162225
2017,2/28/2017,"Little Rock, AR",AR,167242
2017,3/31/2017,"Little Rock, AR",AR,165633
2017,4/30/2017,"Little Rock, AR",AR,167300
2017,5/31/2017,"Little Rock, AR",AR,163967
2017,6/30/2017,"Little Rock, AR",AR,169967
2017,7/31/2017,"Little Rock, AR",AR,168112
2017,8/31/2017,"Little Rock, AR",AR,167779
2017,9/30/2017,"Little Rock, AR",AR,160812
2017,10/31/2017,"Little Rock, AR",AR,159333
2017,11/30/2017,"Little Rock, AR",AR,158000
2017,12/31/2017,"Little Rock, AR",AR,157333
2018,1/31/2018,"Little Rock, AR",AR,157000
2018,2/28/2018,"Little Rock, AR",AR,156167
2018,3/31/2018,"Little Rock, AR",AR,156333
2018,4/30/2018,"Little Rock, AR",AR,159458
2018,5/31/2018,"Little Rock, AR",AR,162625
2018,6/30/2018,"Little Rock, AR",AR,167458
2018,7/31/2018,"Little Rock, AR",AR,169333
2018,8/31/2018,"Little Rock, AR",AR,166900
2018,9/30/2018,"Little Rock, AR",AR,163417
2018,10/31/2018,"Little Rock, AR",AR,160667
