Year,Date,RegionName,StateName,median_housing_price,median_income
2017,1/31/2017,United States,,225033,
2017,2/28/2017,United States,,223906,
2017,3/31/2017,United States,,223406,
2017,4/30/2017,United States,,226500,
2017,5/31/2017,United States,,230833,
2017,6/30/2017,United States,,237000,
2017,7/31/2017,United States,,240000,
2017,8/31/2017,United States,,241667,
2017,9/30/2017,United States,,239043,
2017,10/31/2017,United States,,237377,
2017,11/30/2017,United States,,236377,
2017,12/31/2017,United States,,237333,
2018,1/31/2018,United States,,237333,
2018,2/28/2018,United States,,237667,
2018,3/31/2018,United States,,238667,
2018,4/30/2018,United States,,242000,
2018,5/31/2018,United States,,245667,
2018,6/30/2018,United States,,249667,
2018,7/31/2018,United States,,251333,
2018,8/31/2018,United States,,251552,
2018,9/30/2018,United States,,248218,
2018,10/31/2018,United States,,245885,
2018,11/30/2018,United States,,244433,
2018,12/31/2018,United States,,245333,
2019,1/31/2019,United States,,245333,
2019,2/28/2019,United States,,244400,
2019,3/31/2019,United States,,245163,
2019,4/30/2019,United States,,248497,
2019,5/31/2019,United States,,254330,
2019,6/30/2019,United States,,259333,
2019,7/31/2019,United States,,262500,
2019,8/31/2019,United States,,262500,
2019,9/30/2019,United States,,259833,
2019,10/31/2019,United States,,258000,
2019,11/30/2019,United States,,257667,
2019,12/31/2019,United States,,259000,
2017,1/31/2017,"Birmingham, AL",AL,177033,48123
2017,2/28/2017,"Birmingham, AL",AL,173033,48123
2017,3/31/2017,"Birmingham, AL",AL,173317,48123
2017,4/30/2017,"Birmingham, AL",AL,178317,48123
2017,5/31/2017,"Birmingham, AL",AL,188317,48123
2017,6/30/2017,"Birmingham, AL",AL,194667,48123
2017,7/31/2017,"Birmingham, AL",AL,193900,48123
2017,8/31/2017,"Birmingham, AL",AL,190233,48123
2017,9/30/2017,"Birmingham, AL",AL,187317,48123
2017,10/31/2017,"Birmingham, AL",AL,185583,48123
2017,11/30/2017,"Birmingham, AL",AL,184333,48123
2017,12/31/2017,"Birmingham, AL",AL,184217,48123
2018,1/31/2018,"Birmingham, AL",AL,181683,49861
2018,2/28/2018,"Birmingham, AL",AL,180567,49861
2018,3/31/2018,"Birmingham, AL",AL,182233,49861
2018,4/30/2018,"Birmingham, AL",AL,187487,49861
2018,5/31/2018,"Birmingham, AL",AL,196853,49861
2018,6/30/2018,"Birmingham, AL",AL,203553,49861
2018,7/31/2018,"Birmingham, AL",AL,206667,49861
2018,8/31/2018,"Birmingham, AL",AL,201633,49861
2018,9/30/2018,"Birmingham, AL",AL,197633,49861
2018,10/31/2018,"Birmingham, AL",AL,195300,49861
2018,11/30/2018,"Birmingham, AL",AL,195500,49861
2018,12/31/2018,"Birmingham, AL",AL,195400,49861
2019,1/31/2019,"Birmingham, AL",AL,193092,51734
2019,2/28/2019,"Birmingham, AL",AL,191925,51734
2019,3/31/2019,"Birmingham, AL",AL,192692,51734
2019,4/30/2019,"Birmingham, AL",AL,200254,51734
2019,5/31/2019,"Birmingham, AL",AL,209421,51734
2019,6/30/2019,"Birmingham, AL",AL,215054,51734
2019,7/31/2019,"Birmingham, AL",AL,213522,51734
2019,8/31/2019,"Birmingham, AL",AL,211022,51734
2019,9/30/2019,"Birmingham, AL",AL,205355,51734
2019,10/31/2019,"Birmingham, AL",AL,205267,51734
2019,11/30/2019,"Birmingham, AL",AL,203600,51734
2019,12/31/2019,"Birmingham, AL",AL,205519,51734
2017,1/31/2017,"Little Rock, AR",AR,162225,45869
2017,2/28/2017,"Little Rock, AR",AR,167242,45869
2017,3/31/2017,"Little Rock, AR",AR,165633,45869
2017,4/30/2017,"Little Rock, AR",AR,167300,45869
2017,5/31/2017,"Little Rock, AR",AR,163967,45869
2017,6/30/2017,"Little Rock, AR",AR,169967,45869
2017,7/31/2017,"Little Rock, AR",AR,168112,45869
2017,8/31/2017,"Little Rock, AR",AR,167779,45869
2017,9/30/2017,"Little Rock, AR",AR,160812,45869
2017,10/31/2017,"Little Rock, AR",AR,159333,45869
2017,11/30/2017,"Little Rock, AR",AR,158000,45869
2017,12/31/2017,"Little Rock, AR",AR,157333,45869
2018,1/31/2018,"Little Rock, AR",AR,157000,47062
2018,2/28/2018,"Little Rock, AR",AR,156167,47062
2018,3/31/2018,"Little Rock, AR",AR,156333,47062
