Year,state,median_income
2018,AK,74346
2018,AL,49861
2018,AR,47062
2018,AZ,59246
2018,CA,75277
2018,CO,71953
2018,CT,76348
2018,DE,64805
2018,FL,55462
2018,GA,58756
2018,HI,80212
2018,IA,59955
2018,ID,55583
2018,IL,65030
2018,IN,55746
2018,KS,58218
2018,KY,50247
2018,LA,47905
2018,MA,79835
2018,MD,83242
2018,ME,55602
2018,MI,56697
2018,MN,70315
2018,MO,54478
2018,MS,44717
2018,MT,55328
2018,NC,53855
2018,ND,63837
2018,NE,59566
2018,NH,74991
2018,NJ,81740
2018,NM,47169
2018,NV,58646
2018,NY,67844
2018,OH,56111
2018,OK,51924
2018,OR,63426
2018,PA,60905
2018,PR,20296
2018,RI,64340
2018,SC,52306
2018,SD,56274
2018,TN,52375
2018,TX,60629
2018,UT,71414
2018,VA,72577
2018,VT,60782
2018,WA,74073
2018,WI,60773
2018,WV,44097
2018,WY,61584
2017,AK,73181
2017,AL,48123
2017,AR,45869
2017,AZ,56581
2017,CA,71805
2017,CO,69117
2017,CT,74168
2017,DE,62852
2017,FL,52594
2017,GA,56183
2017,HI,77765
2017,IA,58570
2017,ID,52225
2017,IL,62992
2017,IN,54181
2017,KS,56422
2017,KY,48375
2017,LA,46145
2017,MA,77385
2017,MD,80776
2017,ME,56277
2017,MI,54909
2017,MN,68388
2017,MO,53578
2017,MS,43529
2017,MT,53386
2017,NC,52752
2017,ND,61843
2017,NE,59970
2017,NH,73381
2017,NJ,80088
2017,NM,46744
2017,NV,58003
2017,NY,64894
2017,OH,54021
2017,OK,50051
2017,OR,60212
2017,PA,59195
2017,PR,19343
2017,RI,63870
2017,SC,50570
2017,SD,56521
2017,TN,51340
2017,TX,59206
2017,UT,68358
2017,VA,71535
2017,VT,57513
2017,WA,70979
2017,WI,59305
2017,WV,43469
2017,WY,60434
2019,AK,75463
2019,AL,51734
2019,AR,48952
2019,AZ,62055
2019,CA,80440
2019,CO,77127
2019,CT,78833
2019,DE,70176
2019,FL,59227
2019,GA,61980
2019,HI,83102
2019,IA,61691
2019,ID,60999
2019,IL,69187
2019,IN,57603
2019,KS,62087
2019,KY,52295
2019,LA,51073
2019,MA,85843
2019,MD,86738
2019,ME,58924
2019,MI,59584
2019,MN,74593
2019,MO,57409
2019,MS,45792
2019,MT,57153
2019,NC,57341
2019,ND,64577
2019,NE,63229
2019,NH,77933
2019,NJ,85751
2019,NM,51945
2019,NV,63276
2019,NY,72108
2019,OH,58642
2019,OK,54449
2019,OR,67058
2019,PA,63463
2019,PR,20474
2019,RI,71169
2019,SC,56227
2019,SD,59533
2019,TN,56071
2019,TX,64034
2019,UT,75780
2019,VA,76456
2019,VT,63001
2019,WA,78687
2019,WI,64168
2019,WV,48850
2019,WY,65003
